question_idx,question,method,recall_at_5,ndcg_at_5,evidence_hit_rate,redundancy_score,avg_pairwise_similarity,prompt_token_count,budget_utilization,rouge_l,keyword_support_rate
1,What is the minimally clinically important difference (MCID) for the 2-Minute Walk Test in subacute stroke patients?,similarity,1.0,1.0,1.0,0.6040036295141492,0.6040036295141492,1078,0.8983333333333333,0.29999999999999993,1.0
1,What is the minimally clinically important difference (MCID) for the 2-Minute Walk Test in subacute stroke patients?,mmr,1.0,1.0,1.0,0.5018131924527032,0.5018131924527032,1200,1.0,0.4225352112676056,0.896551724137931
1,What is the minimally clinically important difference (MCID) for the 2-Minute Walk Test in subacute stroke patients?,litepack,1.0,1.0,1.0,0.5388403002704892,0.5388403002704892,1126,0.9383333333333334,0.29999999999999993,1.0
2,What were the outcomes of the Internet Cognitive Therapy for Prolonged Grief (iCT-PG) intervention in terms of symptom r,similarity,1.0,1.0,1.0,0.714226422565324,0.714226422565324,1157,0.9641666666666666,0.37142857142857144,0.927536231884058
2,What were the outcomes of the Internet Cognitive Therapy for Prolonged Grief (iCT-PG) intervention in terms of symptom r,mmr,1.0,1.0,1.0,0.6522272942321641,0.6522272942321641,1134,0.945,0.19298245614035084,0.9183673469387755
2,What were the outcomes of the Internet Cognitive Therapy for Prolonged Grief (iCT-PG) intervention in terms of symptom r,litepack,1.0,1.0,1.0,0.6469704551356179,0.6469704551356179,1157,0.9641666666666666,0.20512820512820512,0.9230769230769231
3,What is the proposed stepwise algorithm for the pharmacotherapy of late-life depression in older adults?,similarity,1.0,1.0,1.0,0.5888909611437055,0.5888909611437055,1172,0.9766666666666667,0.4689655172413793,0.8481012658227848
3,What is the proposed stepwise algorithm for the pharmacotherapy of late-life depression in older adults?,mmr,1.0,1.0,1.0,0.5451329655117458,0.5451329655117458,1148,0.9566666666666667,0.4755244755244756,0.8461538461538461
3,What is the proposed stepwise algorithm for the pharmacotherapy of late-life depression in older adults?,litepack,1.0,1.0,1.0,0.5871722247865465,0.5871722247865465,1114,0.9283333333333333,0.4689655172413793,0.8875
4,What are the key drivers associated with burnout among public safety personnel?,similarity,1.0,1.0,1.0,0.638105984363291,0.638105984363291,1128,0.94,0.6,0.8448275862068966
4,What are the key drivers associated with burnout among public safety personnel?,mmr,1.0,1.0,1.0,0.5714913043710921,0.5714913043710921,1199,0.9991666666666666,0.923076923076923,0.9
4,What are the key drivers associated with burnout among public safety personnel?,litepack,1.0,1.0,1.0,0.6274302634927962,0.6274302634927962,1115,0.9291666666666667,0.923076923076923,0.896551724137931
5,What is the efficacy and tolerability of cannabidiol (CBD) in patients with schizophrenia spectrum disorders according t,similarity,1.0,1.0,1.0,0.5996637634105153,0.5996637634105153,1190,0.9916666666666667,0.3287671232876712,0.8641975308641975
5,What is the efficacy and tolerability of cannabidiol (CBD) in patients with schizophrenia spectrum disorders according t,mmr,1.0,1.0,1.0,0.5818154331710603,0.5818154331710603,1187,0.9891666666666666,0.37762237762237766,0.9078947368421053
5,What is the efficacy and tolerability of cannabidiol (CBD) in patients with schizophrenia spectrum disorders according t,litepack,1.0,1.0,1.0,0.5591027716795604,0.5591027716795604,1169,0.9741666666666666,0.423841059602649,0.9166666666666666
